,count,mean,std,min,25%,50%,75%,max
crime_count,2304.0,2211.883246527778,986.9913276458723,627.0,1641.75,2174.5,2584.5,9508.0
population,2304.0,278417.7708333333,64711.847526359954,144266.0,218242.25,284589.5,328607.5,409342.0
crime_per_1000,2304.0,8.206685011801678,4.569379176718907,3.5585286324101015,5.989794095323945,7.185935753306525,8.880440670324209,45.133268459402366
claimant_count,2304.0,9884.381510416666,5144.570155171537,1710.0,5955.0,9135.0,13191.25,28090.0
claimant_per_1000,2304.0,34.7801408519579,14.948599487526492,8.757369354931027,22.93369290832686,33.70666286059158,43.96451309921561,82.7604732196567
population_density,2304.0,7748.7867855387985,3983.0039319937637,2216.2269913911814,4691.444013945998,6182.18953381702,11181.317660527184,16037.727467069308
imd_value,2304.0,21.410256134111094,6.0687007583224375,9.423121739130435,16.251296398104266,21.988302758164163,25.85825768241505,32.883472727272725
