,crime_count,crime_per_1000,claimant_count,claimant_per_1000,population_density,imd_value
crime_count,1.0,0.8722892725377894,0.2276911136867179,0.1637683720087346,0.42859278902813147,0.38030715302928936
crime_per_1000,0.8722892725377894,1.0,-0.07546327141824166,0.03581276591426964,0.48769990476508374,0.2312386822530479
claimant_count,0.2276911136867179,-0.07546327141824166,1.0,0.9019971489775022,0.1797868297590628,0.5208722225802678
claimant_per_1000,0.1637683720087346,0.03581276591426964,0.9019971489775022,1.0,0.33426047760266775,0.5640390245000177
population_density,0.42859278902813147,0.48769990476508374,0.1797868297590628,0.33426047760266775,1.0,0.610809361373048
imd_value,0.38030715302928936,0.2312386822530479,0.5208722225802678,0.5640390245000177,0.610809361373048,1.0
