borough,avg_crime_count,avg_crime_per_1000,avg_claimant_count,avg_claimant_per_1000,population_density,imd_value
Redbridge,1984.0694444444443,6.32207099304841,10329.652777777777,32.917269147138356,5422.109861329153,16.90785093167702
Barnet,2340.7916666666665,5.941252448345828,11805.694444444445,29.974437401395946,4577.02267274036,15.953625592417062
Havering,1566.1666666666667,5.8794374932096565,6798.333333333333,25.554131062828052,2292.0495375571477,16.35052
Bromley,1932.763888888889,5.826575827908069,6926.527777777777,20.889234775382395,2216.2269913911814,13.969446700507616
Kingston upon Thames,959.8055555555555,5.64532751310681,3535.972222222222,20.81758296654928,4819.520457432691,11.303244897959184
Bexley,1344.5972222222222,5.390071622438731,5449.791666666667,21.864925802187834,4126.712501750559,15.88236301369863
Merton,1144.861111111111,5.281490217870618,6273.958333333333,28.95416246095751,5566.045403425799,14.34733064516129
Sutton,1097.513888888889,5.205171240109603,4591.458333333333,21.7801847020723,4729.584461014545,13.820280991735537
Richmond upon Thames,993.5277777777778,5.053657396394056,3439.027777777778,17.504831505535346,3473.7879851658654,9.423121739130435
Harrow,1303.2777777777778,4.933011136564289,6821.388888888889,25.8305501980398,5060.545260876023,14.860883211678832
