year,total_crime,mean_crime_per_1000,total_claimants,mean_claimant_per_1000
2019,900097.0,8.765755738826858,1976225,18.27744409925013
2020,768036.0,7.375746164787557,4610035,42.58512689410658
2021,770627.0,7.460461716843156,5215765,48.41507170901713
2022,835151.0,8.119906198503635,3536895,32.51688333229777
2023,896049.0,8.653527292654102,3476225,31.485089484739024
2024,926219.0,8.864712959194767,3958470,35.401229592336776
