borough,date,year,month,crime_count,population,crime_per_1000,claimant_count,claimant_per_1000,population_density,imd_value
Barking and Dagenham,2020-05-01,2020,5,1426.0,219227,6.50467323824164,13500,61.580006112385796,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-06-01,2020,6,1553.0,219227,7.083981443891492,13165,60.051909664411774,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-07-01,2020,7,1607.0,219227,7.330301468341035,13530,61.716850570413314,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-08-01,2020,8,1570.0,219227,7.161526636773755,13860,63.22213960871608,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-09-01,2020,9,1572.0,219227,7.170649600642257,13645,62.24142099285216,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-10-01,2020,10,1637.0,219227,7.467145926368559,13385,61.055435689946954,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-11-01,2020,11,1642.0,219227,7.489953336039813,14075,64.20285822458,5892.712926954293,32.883472727272725
Barking and Dagenham,2020-12-01,2020,12,1430.0,219227,6.522919165978643,14330,65.36603611781396,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-01-01,2021,1,1338.0,218714,6.117578207156377,13985,63.94195158974735,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-02-01,2021,2,1358.0,218714,6.209021827592198,14895,68.10263631957716,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-03-01,2021,3,1504.0,218714,6.876560256773686,14940,68.30838446555776,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-04-01,2021,4,1541.0,218714,7.045730954579954,14965,68.42268899110255,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-05-01,2021,5,1599.0,218714,7.310917453843833,14305,65.40504951672047,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-06-01,2021,6,1689.0,218714,7.7224137458050235,13300,60.8100075898205,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-07-01,2021,7,1651.0,218714,7.548670866976965,13195,60.32992858253244,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-08-01,2021,8,1539.0,218714,7.036586592536372,12505,57.175123677496636,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-09-01,2021,9,1576.0,218714,7.205757290342639,11635,53.19732618853846,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-10-01,2021,10,1734.0,218714,7.928161891785619,11105,50.77407024698922,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-11-01,2021,11,1643.0,218714,7.512093418802638,10605,48.48797973609371,5892.712926954293,32.883472727272725
Barking and Dagenham,2021-12-01,2021,12,1485.0,218714,6.789688817359657,10300,47.093464524447455,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-01-01,2022,1,1558.0,220392,7.069222113325347,9865,44.761152854913064,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-02-01,2022,2,1518.0,220392,6.887727322225852,9950,45.146829285999495,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-03-01,2022,3,1636.0,220392,7.423136955969364,9610,43.60412356165378,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-04-01,2022,4,1554.0,220392,7.051072634215398,9220,41.8345493484337,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-05-01,2022,5,1631.0,220392,7.400450107081927,9080,41.19931757958547,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-06-01,2022,6,1704.0,220392,7.731678100838505,8940,40.56408581073723,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-07-01,2022,7,1616.0,220392,7.332389560419616,8775,39.81541979745181,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-08-01,2022,8,1688.0,220392,7.659080184398707,8620,39.112127481941265,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-09-01,2022,9,1568.0,220392,7.114595811100221,8695,39.45243021525282,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-10-01,2022,10,1792.0,220392,8.130966641257396,8595,38.998693237504085,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-11-01,2022,11,1808.0,220392,8.203564557697193,8735,39.633925006352314,5892.712926954293,32.883472727272725
Barking and Dagenham,2022-12-01,2022,12,1690.0,220392,7.668154923953683,8745,39.67929870412719,5892.712926954293,32.883472727272725
Barking and Dagenham,2023-01-01,2023,1,1738.0,226301,7.680036765193261,8590,37.958294483895344,5892.712926954293,32.883472727272725
